timestamp,controlpriority sentbytes,maxpriority_1_sentbytes,maxpriority_2_sentbytes,lowpriority_sentbytes
23:13:22.180,3247,,,
23:13:31.362,3247,,,
23:13:38.869,3562,,,
23:13:39.838,3012,,,
23:13:42.185,3247,,,
23:13:43.011,806,,,
23:13:47.806,1317,,,
23:13:47.823,1065,,,
23:13:47.827,1221,,,
23:13:47.834,2095,,,
23:13:47.834,2095,,,
23:13:47.838,2095,,,
23:13:47.862,2095,,,
23:13:51.345,3247,,,
23:13:53.429,1317,,,
23:13:53.460,1065,,,
23:13:53.499,1221,,,
23:13:53.507,2110,,,
23:13:53.508,2110,,,
23:13:53.508,2110,,,
23:13:53.508,2110,,,
23:13:58.903,3562,,,
23:13:59.841,3012,,,
23:14:00.309,,259,,
23:14:01.306,,259,,
23:14:02.187,3247,,,
23:14:02.306,,259,,
23:14:03.306,,259,,
23:14:04.306,,259,,
23:14:05.306,,259,,
23:14:06.305,,259,,
23:14:07.305,,259,,
23:14:08.305,,259,,
23:14:09.305,,259,,
23:14:10.306,,259,,
23:14:11.305,,259,,
23:14:11.352,3247,,,
23:14:12.306,,259,,
23:14:13.305,,259,,
23:14:14.306,,259,,
23:14:15.306,,259,,
23:14:16.304,,259,,
23:14:17.305,,259,,
23:14:18.305,,259,,
23:14:18.944,3562,,,
23:14:19.305,,259,,
23:14:19.844,3012,,,
23:14:20.305,,259,,
23:14:21.309,,259,,
23:14:22.186,3247,,,
23:14:22.306,,259,,
23:14:23.305,,259,,
23:14:24.306,,259,,
23:14:25.305,,259,,
23:14:26.305,,259,,
23:14:27.305,,259,,
23:14:28.306,,259,,
23:14:29.306,,259,,
23:14:30.305,,259,,
23:14:31.305,,259,,
23:14:31.357,3247,,,
23:14:32.306,,259,,
23:14:33.306,,259,,
23:14:34.306,,259,,
23:14:35.306,,259,,
23:14:36.304,,259,,
23:14:37.305,,259,,
23:14:38.305,,259,,
23:14:38.962,3562,,,
23:14:39.305,,259,,
23:14:39.846,3012,,,
23:14:40.306,,259,,
23:14:41.307,,259,,
23:14:42.187,3247,,,
23:14:42.306,,259,,
23:14:43.306,,259,,
23:14:44.305,,259,,
23:14:45.307,,259,,
23:14:46.308,,259,,
23:14:47.305,,259,,
23:14:48.305,,259,,
23:14:48.306,822,,,
23:14:48.351,1065,,,
23:14:49.307,,259,,
23:14:49.308,822,,,
23:14:49.318,1065,,,
23:14:50.306,,259,,
23:14:50.306,822,,,
23:14:50.309,1065,,,
23:14:51.307,,259,,
23:14:51.308,822,,,
23:14:51.315,1065,,,
23:14:51.363,3247,,,
23:14:52.305,,259,,
23:14:52.306,822,,,
23:14:52.323,1065,,,
23:14:53.305,,259,,
23:14:53.307,822,,,
23:14:53.314,1065,,,
23:14:53.521,822,,,
23:14:53.527,1065,,,
23:14:53.620,822,,,
23:14:53.627,1065,,,
23:14:53.722,822,,,
